Key;EnglishText;PortugueseText
HomeBtn;Home;Início
ContactBtn;Contact;Contacto
ProductsBtn;Products;Produtos
RegisterBtn;Register;Registar
LoginBtn;Login;Iniciar Sessão
HomeTitle;Welcome to the Pixel Potion Shop!;Bemvindo à Loja de Poções Pixel!
HomeText;Step into a world where magic fizzes in glass bottles and every pixel sparkles with possibility. Whether you need motivation for Mondays, courage for your next adventure, or a quick excuse for that “forgotten” homework, our handcrafted potions are brewed with care and humor. Each vial is pixel-perfect and enchanted to bring a smile — no side effects (probably). Browse our shelves, discover your potion, and let a bit of pixel magic brighten your day!;Entre num mundo onde a magia borbulha em frascos de vidro e cada pixel brilha com possibilidades. Quer precise de motivação para as segundas-feiras, coragem para a sua próxima aventura, ou uma desculpa rápida para aquele trabalho de casa "esquecido", as nossas poções artesanais são preparadas com cuidado e humor. Cada frasco é pixel-perfeito e encantado para trazer um sorriso — sem efeitos secundários (provavelmente). Explore as nossas prateleiras, descubra a sua poção, e deixe um pouco de magia pixel iluminar o seu dia!
ContactTitle;Contact the Potion Master;Contacte o Mestre das Poções
ContactText;Need help with your order, a replacement bottle, or a custom brew idea? Send us a message below and we will respond faster than a teleportation spell!;Precisa de ajuda com a sua encomenda, um frasco de substituição, ou uma ideia de mistura personalizada? Envie-nos uma mensagem abaixo e responderemos mais rápido do que um feitiço de teletransporte!
ContactLabel1;Adventurer Name:;Nome do Aventureiro:
ContactLabel2;Raven Address (Email):;Endereço do Corvo (Email):
ContactLabel3;Potion Inquiry:;Consulta sobre Poção:
ContactLabel4;Your Message:;A Sua Mensagem:
ContactSendBtn;Send Your Scroll ✉️;Enviar o Seu Pergaminho ✉️
ContactPlaceholder1;e.g., Merlin the Focused;ex., Merlin o Focado
ContactPlaceholder2;you@example.com;você@exemplo.com
ContactPlaceholder3;Which potion calls to you?;Qual poção o chama?
ContactPlaceholder4;Type your message spell here...;Digite aqui a sua mensagem mágica...
ContactAddress;Raven Address: support@pixelpotions.shop;Endereço do Corvo: support@pixelpotions.shop
ContactHotline;Cristal Ball Hotline: +1 (555) MAGIC-01;Linha Direta do Cristal: +1 (555) MAGIA-01
ContactLocation;Workshop Location: Somewhere between reality and imagination.;Localização da Loja: Algures entre a realidade e a imaginação.
RegisterTitle;Register as an Apprentice Brewer 🧪;Registe-se como Aprendiz de fabricante de poções 🧪
RegisterText;Join the guild and start your potion-making journey!  Gain access to secret recipes, member-only discounts, and exclusive magical brews.;Junte-se à guilda e comece a sua jornada na fabricação de poções!  Obtenha acesso a receitas secretas, descontos exclusivos para membros, e misturas mágicas exclusivas.
RegisterUsername;Adventurer Name:;Nome do Aventureiro:
DisplayName;Display Name (Public):;Nome de Exibição (Público):
DisplayNamePlaceholder;e.g., Elara the Swift;ex., Elara a Veloz
RegisterEmail;Raven Address (Email):;Endereço do Corvo (Email):
RegisterEmailPlaceholder;you@example.com;você@exemplo.com
RegisterSecretPassword;Secret Word (Password):;Palavra Secreta (Senha):
RegisterSecretPasswordRepeat;Repeat Secret Word:;Repita a Palavra Secreta:
RegisterPageButton;Join the Guild! ✨;Junte-se à Guilda! ✨
RegisterUsernamePlaceholder;e.g., Elara the Swift;ex., Elara a Veloz
LoginTitle;Login to your magic account;Inicie sessão na sua conta mágica
LoginUsername;Username;Nome de Utilizador
LoginUsernameEnter;Enter username;Digite o nome de utilizador
LoginPassword;Password;Senha
LoginPasswordEnter;Enter password;Digite a senha
LoginMessageSuccess;You are logged in, mighty alchemist!;Você está conectado, poderoso alquimista!
LoginMessageError;Invalid username or password. Please try again.;Nome de utilizador ou senha inválidos. Por favor, tente novamente.
